PuzzleId,SF_Material,SF_Positional,SF_Final_Eval
1eoAF,1.18,0.56,2.15
AmhtS,-0.15,0.09,0.07
4XHyR,-0.37,0.31,-0.05
Jvwc7,-0.08,-0.43,-0.57
9X6Yp,,,
Zd3JA,1.22,-1.59,0.51
lsbtn,-0.25,0.44,0.21
66yko,1.47,0.57,-2.28
uKPat,,,
l3kta,0.93,-0.25,0.77
nM3Hv,-0.39,0.41,0.05
mNKR5,-0.31,-0.18,0.59
DnEkc,0.88,0.64,1.67
Iq4UV,3.01,1.32,-3.49
qRkoo,0.79,0.77,1.71
a3nUn,2.36,1.46,-4.47
rIT2e,,,
0820e,1.03,-0.41,-0.67
AYUCE,0.6,-0.11,-0.6
YjVhr,1.35,1.14,-3.15
KD58Q,,,
u8ZWu,1.2,-0.23,-0.95
1JidQ,0.41,-0.23,0.18
9whTO,0.05,-0.1,0.07
6Fak4,,,
oZBM2,0.02,0.75,0.92
7L4cX,-0.24,0.86,0.82
rb7A9,0.19,-0.47,-0.36
9L3IN,0.55,-0.45,-0.09
Vls4P,2.74,-0.16,-2.31
SrpNs,,,
7WEVB,0.85,0.97,2.25
RViOw,4.28,-2.08,-2.58
y96ls,,,
7NUzs,3.25,1.29,-3.91
p4ceB,0.44,0.94,1.74
qiVoB,-0.23,2.56,2.87
EpQmX,2.45,-0.92,-1.65
cHSxn,-0.12,0.09,-0.02
wJGd3,-0.2,0.24,-0.05
R9jOB,-0.09,-0.63,0.93
YLZWO,3.63,-3.51,0.04
f6KNz,-0.08,0.08,0.01
IMR3G,0.21,0.09,-0.31
F52oR,0.01,-0.07,0.08
tbl3M,,,
SPdTa,0.05,-0.06,-0.01
VYW2o,1.36,-0.15,-1.36
Jub2N,2.31,0.96,-3.85
zOzhH,5.09,-1.97,-2.15
OXTIw,-1.73,2.24,0.63
4mQhl,0.22,-0.01,-0.23
lMBnA,-0.3,1.24,-1.17
DmYsV,-0.38,0.33,0.04
P2kYx,0.57,-0.33,-0.26
24c2d,-0.03,-0.17,-0.25
FxsAU,0.84,-0.1,-0.81
PFLs9,2.31,-1.38,-1.05
h6ddl,0.05,0.02,-0.07
EA9LN,0.95,1.04,2.09
Moq3X,,,
soWMU,2.8,0.15,2.95
EeAmg,0.83,0.81,-2.09
ptDoo,3.16,-1.19,1.46
TIRAQ,4.03,0.1,-3.0
ov2RY,,,
ENlhn,1.07,-2.68,-1.94
ZQnXU,-0.59,-0.59,-1.47
tKnvl,1.98,-1.48,0.48
i5CbD,0.48,0.13,0.73
r0HKM,,,
4z10L,0.06,0.97,1.3
OQTZz,-1.35,-1.37,3.4
oA0UL,,,
0v9Os,,,
5od3D,0.51,-0.36,-0.14
QEI1N,0.25,0.93,-1.42
qLyjm,0.98,-0.71,0.25
ZMrqH,-0.56,-0.54,1.43
uNA64,,,
8UBtJ,0.01,0.41,-0.46
Bx63j,0.28,-0.92,-0.69
Qt8EV,0.18,-1.11,1.14
nUeIb,0.8,1.38,2.41
WbVsR,,,
nzNmb,0.7,0.25,-1.19
ate3b,-0.2,0.08,0.14
HxwMB,0.23,0.38,0.76
thsvc,,,
xJIIt,0.05,0.38,-0.51
QgUp5,0.73,-0.25,0.53
ZquNb,,,
OjK91,1.77,-0.93,0.84
9GXvx,0.58,1.19,-2.09
h9aTl,1.25,1.53,-3.44
9ioQl,3.26,-4.19,1.03
Fw6Cc,0.56,0.29,0.94
xjbzy,,,
rY5LU,,,
qATYs,0.69,0.7,-1.7
XFWOS,-4.8,2.95,3.11
vwLIO,1.84,-0.64,1.31
kUpNs,1.58,-3.01,1.69
K955i,0.89,-0.31,0.62
NeoFO,0.64,0.8,1.71
302E4,1.11,-2.67,1.57
JgGzD,0.28,-0.91,0.75
zQC2a,0.06,-0.29,-0.29
FJe3h,1.86,-0.74,1.19
WMwky,1.63,-0.62,-1.1
uRX9D,0.59,-0.19,-0.39
f4GKc,0.62,1.5,-2.5
GVQev,1.04,-0.65,-0.38
Grauf,1.43,-0.53,-1.0
6lZxj,-0.63,-1.5,2.14
WTg2x,2.12,2.63,5.35
f3Lnn,-0.7,1.28,0.76
kmpS1,-0.75,-0.43,-1.5
kGZLy,1.1,1.3,2.89
ipeVv,-0.63,-1.29,2.39
FVYra,-0.1,0.31,-0.26
0XMZ9,0.4,-1.12,0.85
JTVWf,,,
aLc4p,,,
9P0OE,2.96,0.87,4.01
P4Kbp,0.36,1.05,-1.6
YHKaN,0.95,1.06,2.28
0q75k,0.94,-1.26,0.38
WIbCl,0.81,1.32,-2.56
FjZU7,0.62,1.28,-2.34
l2KzW,0.22,0.28,0.66
WUZgQ,0.16,0.22,0.49
Lw51d,2.47,-1.23,1.19
TaSPx,,,
Zajtf,0.28,0.18,-0.54
bmGQK,0.95,1.41,-2.53
hY5Ud,0.19,1.07,1.51
njA7A,0.67,0.81,1.89
wAMGy,,,
sJGJq,,,
KjKyM,1.42,0.09,1.69
2UoL7,3.71,0.43,3.63
TcLZz,0.12,-0.24,0.14
ktEIs,0.37,0.78,1.44
VCe1E,-0.18,0.22,0.06
zfrja,1.69,-0.01,-1.9
iWtR9,,,
wY9OM,,,
WX7I3,1.11,0.83,2.33
hAurV,4.39,-1.38,-3.31
SHe0k,-1.3,-0.97,-2.66
Ac8OA,0.02,-0.19,0.21
rA5th,1.39,0.98,2.91
4howh,,,
wAHUe,-0.25,0.48,-0.32
Trk86,1.12,1.21,2.88
R0PyN,0.21,0.23,-0.47
GlwZJ,0.66,-1.5,1.0
7Xas4,0.63,-0.16,0.56
S5uSl,0.26,0.02,0.33
05NFa,4.48,-4.12,0.16
TWlh9,1.35,0.32,-1.97
SZTwz,0.55,-1.15,0.77
3NwZA,0.48,-0.39,-0.08
f4eC7,,,
Vrd4d,-0.31,0.03,-0.33
yVsqd,5.05,-4.85,0.03
YeOxF,,,
D4qaH,0.16,-0.19,0.04
95CqZ,,,
EdZ0W,,,
YWiCE,0.06,0.38,-0.53
oGJ8Q,-0.5,0.53,0.05
pwmdR,-0.11,1.52,-1.64
bMXPA,0.44,1.78,2.32
pdsJN,-0.06,0.0,0.05
cq5q1,-0.69,-1.83,2.91
aSG7k,-0.33,0.08,-0.31
VL2iG,3.58,-1.08,-3.78
7tn1U,0.23,0.67,-0.95
Fp4bM,0.73,-0.54,0.18
R9QVx,0.58,-0.32,-0.28
EVEdm,0.42,-0.66,0.3
UXoZj,,,
aV51F,0.76,0.07,0.84
y8lCt,-0.97,0.82,0.12
mjGBX,1.6,1.85,-3.68
2jOep,-0.34,0.53,-0.23
Lk5Fc,1.47,0.21,1.96
Qitpf,-0.6,-0.08,0.7
HAqxP,0.5,-0.28,0.21
dLEWS,,,
NvKgD,3.67,-3.66,0.16
2XMS5,0.25,-0.06,0.21
XkzJG,0.62,0.5,-1.23
ekYjA,-0.03,0.25,0.27
CbMCI,,,
llLjn,-0.06,-0.05,-0.15
J66H7,-1.11,2.13,-1.3
mOZSc,,,
1DHl6,1.43,-0.29,1.26
GoNfo,0.05,-0.02,0.04
fof3V,1.27,2.4,-4.26
pJlkZ,0.55,-0.42,-0.12
OvzSj,-0.04,0.4,0.39
rd1P4,0.36,0.58,-1.05
1TGcA,1.29,-2.37,1.28
oTjcl,-0.06,0.2,0.19
nfVB2,-0.44,0.03,0.44
8Wnjo,0.05,-0.59,-0.69
XZnzi,0.51,0.18,-0.75
MvNA4,0.29,-1.1,1.07
QPell,0.1,0.91,1.3
yOq6v,0.58,0.31,-1.06
JOFjR,0.28,-0.3,0.04
Nl9Oe,0.0,1.83,-2.21
b2oMx,1.74,0.14,2.11
oervB,0.25,0.1,-0.4
RPH73,2.24,-2.54,-0.46
2FD1f,0.23,-0.05,0.21
pQsph,0.95,-0.96,0.07
uS2qJ,0.16,-0.28,-0.16
CSNTs,-0.04,-0.03,0.09
7hjW6,2.39,0.38,1.95
j4R1C,-1.65,0.26,-1.59
czT4m,-0.31,0.01,-0.35
4B8wI,0.47,1.6,-2.64
bLGbQ,-0.28,-0.22,-0.61
mNplF,-0.31,-0.18,-0.62
2XN9E,0.35,-0.51,-0.2
XPvUW,-0.02,0.0,-0.02
BSyxu,0.14,0.46,-0.66
owefc,,,
GVBDr,-0.73,0.66,-0.04
UZX2M,,,
v0Jns,-0.15,-0.83,-1.19
l08dX,0.82,-3.0,2.52
m0An4,2.05,1.86,3.94
0QU63,-0.54,1.72,1.49
Dkfbq,-0.64,2.58,-2.3
HKypt,0.5,-0.49,0.01
tZ1X2,-0.66,0.2,-0.54
3yJoV,0.48,0.52,-1.15
X5syh,-0.84,0.03,0.89
lS1hg,,,
nDrIV,1.34,0.22,1.66
oIqko,0.42,-0.95,-0.66
IWMoC,-0.02,-0.48,-0.59
jYdoh,0.25,0.89,-1.34
NpYOv,0.67,0.3,1.2
IDVX3,-0.47,-1.09,-1.79
1GzcL,1.06,0.18,-1.35
AIyPG,,,
vhSwK,-0.05,0.5,0.57
Yghnq,0.01,0.37,-0.48
iJyye,,,
PnMc3,,,
4VKzr,0.25,0.43,-0.83
OedXM,-2.28,0.66,1.8
zU2yQ,2.03,-0.1,-2.22
Qe440,0.09,0.06,0.16
l8KHl,1.35,-0.6,0.84
UfZHo,,,
WfSs9,-0.24,-0.65,1.06
ZKryj,-0.46,0.25,0.19
oPhAu,0.16,-1.08,-1.09
xKGyt,0.42,0.15,0.71
Gg0qg,0.26,0.79,1.29
uxuJI,0.6,-0.19,0.42
CFhA3,0.99,1.15,-2.78
Pbwti,0.19,-0.17,0.02
kVhvc,,,
Nvs4o,0.14,0.36,-0.63
YmWxz,0.15,0.5,0.85
tpFo3,0.14,0.45,-0.75
UtXZ8,,,
pvR2I,1.49,1.06,2.68
fSlhc,0.9,1.23,2.54
U5oUV,-0.68,-0.8,-1.86
pYfeZ,1.7,-1.05,0.66
KJyjT,0.27,-0.18,-0.09
9hndN,,,
oqyGo,1.67,0.85,2.78
VmeZE,-0.73,0.52,-0.2
0h9vo,4.08,-0.71,2.82
RSaj8,1.31,1.52,3.26
O298q,,,
t9vU7,3.63,-2.75,1.23
bGLY4,,,
hDSEG,-0.02,-0.14,-0.18
usy3B,,,
haT6a,0.38,0.19,-0.63
A8KEs,,,
IliYc,0.46,-0.18,0.34
GrFFc,-0.68,-0.01,0.8
4cfUB,,,
dWn7V,-0.02,-0.59,-0.69
3uhYL,0.24,-0.0,-0.29
sPdhG,,,
gID5x,1.69,2.51,4.88
h27eR,0.21,0.01,-0.27
HmjwZ,1.08,-1.4,-0.4
cehWt,,,
GUXRf,-0.69,0.27,-0.5
Wpkwc,1.57,0.02,1.93
wcoJS,0.0,0.52,-0.65
CE3vm,1.93,-0.08,1.99
HVMzh,0.03,0.25,0.35
1KoaM,-0.22,-0.1,-0.34
IoDjy,0.44,-0.36,0.07
UJRPS,0.51,-0.17,0.36
o2Af8,1.74,-0.45,1.48
s9mTc,0.01,-1.48,-1.62
uSFlR,0.29,0.52,1.03
qv3XH,-1.07,-2.05,-3.88
xH6L8,-0.68,-0.03,-0.81
mcNF1,,,
lSHnq,0.23,0.19,0.53
lKWXu,1.39,-3.17,2.08
pLMj5,1.1,-0.37,-0.76
0YDE8,1.1,-0.33,-0.84
R1HGD,-0.79,0.63,0.13
yXI5b,2.08,-0.37,-1.74
GXRYg,0.07,-0.02,0.04
axVsl,-0.44,-0.52,-1.05
Hk3G6,,,
cGAd6,1.17,1.69,-3.45
M717c,-0.36,-0.11,0.57
tQmie,-0.03,-0.94,-1.13
sq0MU,-0.18,0.56,-0.41
jIcOZ,,,
eFJev,-1.48,-0.36,2.03
EGNMf,1.36,1.0,2.43
Z7QsA,0.73,-0.39,0.33
qBvOY,0.59,-0.44,-0.13
u0lIX,,,
h1lJt,-3.3,-0.2,-3.7
hTnL3,0.23,-0.43,0.25
ALMHG,-0.03,0.0,0.03
MLbxP,0.64,-0.11,-0.51
egh3D,-0.66,-0.68,1.47
81FOO,0.18,0.09,-0.32
h8UHC,0.5,1.13,1.85
zl9db,-0.05,0.06,0.01
CrlgV,0.84,0.83,1.76
EupNv,0.94,-1.27,0.43
AvWXJ,-0.19,0.67,-0.54
1kCay,-1.44,0.15,-1.45
x8z4V,0.42,0.55,1.16
a70SM,0.12,0.21,0.41
JNsFQ,-0.22,-0.25,-0.58
BVD3l,1.84,-0.39,1.68
SNIsW,-3.21,3.97,-1.02
8iBwR,-0.43,0.35,0.07
nVvg7,,,
B8uGa,1.11,-1.34,0.36
b55vW,0.09,-0.25,-0.19
mlONP,-0.6,0.56,0.01
JnR7E,0.36,0.82,1.53
VUouz,0.49,-0.18,0.35
uB7LC,1.28,-1.93,-0.87
Azsag,-0.76,0.87,-0.17
u72bK,0.04,0.96,1.21
49Ntw,-0.26,-0.35,0.76
81mtG,1.63,1.9,-3.96
7vt1a,-0.28,0.29,-0.03
shMLW,,,
wRGni,-0.07,0.59,0.69
loSUq,0.67,0.54,-1.3
w909b,,,
5h7Cu,1.21,-1.85,-0.82
3JqN5,0.1,0.16,0.27
1qsFV,,,
vuARf,0.26,0.01,-0.31
Qv3Fs,0.76,-2.47,2.13
Lhr3C,,,
7GyVQ,0.24,-1.19,1.19
BMgcr,-0.01,-0.78,0.85
BA783,0.1,1.79,-2.18
0kAvd,0.43,-0.9,0.62
ubnEX,-1.0,-0.41,1.24
NYDLk,1.04,1.22,-2.79
I27ld,-0.51,0.5,0.02
ssUme,0.11,0.67,0.92
2iRer,2.18,2.1,-5.4
c7Wv3,0.48,-1.26,0.95
y8WBs,0.54,-0.83,0.36
qvUct,0.75,0.81,-1.85
7xmYa,,,
RsxJz,0.15,0.38,0.61
IqykH,-0.49,0.02,0.59
HznDL,-0.12,-0.27,-0.47
CLlhi,-0.05,-0.23,-0.36
tf2zV,0.15,-0.08,0.08
Eod72,,,
qmeM8,,,
asrzY,-0.62,-0.8,1.75
pwL8z,1.24,1.88,3.6
4OX5t,0.92,-1.13,-0.29
xgjAA,0.04,-0.1,0.08
JveHR,0.01,-0.73,-0.83
LUSi9,1.33,-1.45,0.18
DKjkN,,,
dKRC1,1.25,0.81,-2.26
rmkGE,-1.93,0.16,-2.01
ZJVz4,,,
LYFV8,-0.55,0.51,-0.02
FEHrX,-0.28,0.32,-0.06
G19Hw,0.35,1.27,-1.98
htVoc,1.09,-1.25,0.24
H29aH,,,
f2T66,,,
8PMhf,-0.51,-0.15,-0.8
HooTQ,,,
DuvPY,0.61,0.75,1.75
LhHQj,0.77,0.63,1.62
XsE6h,0.09,0.36,0.52
TSMRY,-0.01,1.0,-1.07
6qBbX,-0.58,0.21,0.36
Oe1NW,2.17,0.48,-2.59
8uIxS,1.04,-1.53,-0.58
KpnFI,0.12,-0.25,-0.18
RuBmZ,0.23,1.3,-1.93
Dfc1V,0.12,-0.24,0.15
REcOO,-0.32,-0.92,1.57
A0oE6,,,
NATW4,0.95,0.33,1.45
TShbz,,,
g7Gj6,0.28,-0.21,-0.08
8YCnH,1.82,2.01,4.61
jfOp5,,,
e1sn4,-0.24,-0.09,-0.42
muHbQ,0.0,0.16,0.2
LtiM2,,,
Nwk7J,-0.19,-0.05,-0.24
ZZBj8,-0.49,0.71,0.29
Wg0cN,1.78,0.32,-2.4
Ba1lP,0.44,-0.6,-0.19
yBQae,1.88,0.0,-2.09
vNTod,,,
3SlYj,-2.8,0.06,-2.76
VaipH,1.14,-1.22,0.14
6maV1,-1.51,-0.62,2.5
lhHuM,0.11,0.19,-0.38
9z5ek,1.61,2.43,-4.36
lWRWe,-0.15,-0.24,0.48
91ikD,-0.39,-1.59,2.45
O5Vcu,-0.16,-1.64,-1.9
F5ZL8,0.78,0.2,1.2
6hMzb,1.01,0.16,1.31
C0tKr,1.42,0.64,-2.38
5JqSy,0.61,-0.68,0.11
J2D6H,-0.49,0.46,-0.01
k3MGu,0.2,-0.1,-0.13
tKnaD,,,
YYer0,2.83,1.46,-4.93
jKy0k,0.53,1.19,-2.09
sTxyG,1.01,1.76,-3.33
5FXKs,0.13,-0.01,0.14
orsQN,,,
f6jw5,3.7,-2.39,-1.8
Uyb8n,,,
iUZn9,-0.42,0.19,0.26
RpAUw,0.83,0.87,-2.08
X2gzC,0.74,-3.09,-2.72
s6c0a,-0.47,-1.28,2.19
skG1L,2.22,-1.95,-0.19
Zc804,-0.42,0.22,0.21
wmDEt,0.93,-1.72,0.98
BNqsU,2.21,-0.03,-2.27
euJwQ,1.07,1.01,2.19
KDePc,2.83,0.04,1.82
OAUVQ,-0.11,-0.44,0.59
1OQqV,-2.36,-0.22,2.99
N4ble,3.37,-0.59,-2.5
HZX3U,,,
hy6pm,0.28,1.03,-1.63
OcwZd,0.84,0.93,1.85
InMA1,-0.33,-0.1,0.55
2mIDY,0.18,-1.72,1.94
x0GVn,0.29,0.77,1.1
JMo5c,2.74,-0.02,1.97
O3cMt,0.61,0.27,-1.08
wHeXV,1.69,2.23,-4.79
8vx4U,0.02,2.06,2.4
PMCYx,-0.19,-0.05,-0.29
P8u4J,-4.37,5.55,1.3
og0US,0.88,-1.75,1.02
m4UAm,0.29,0.92,1.46
ic9Kf,-0.2,0.2,0.01
Qwxsf,0.02,-0.1,0.09
7if7K,0.28,0.08,-0.43
CmhNj,1.11,0.17,-1.46
jwn7m,2.57,2.48,5.9
r74N8,,,
MKnUS,0.07,0.24,0.39
s9WyR,-0.61,-0.53,-1.47
JJHXA,1.99,0.45,-2.81
qATmw,-0.13,0.78,-0.82
UQVPR,-0.1,0.43,0.44
BbZBU,0.4,0.67,-1.36
8hsiU,0.81,0.12,1.12
KZ7pj,4.0,-0.12,3.99
KLqwy,0.21,0.69,-1.03
mvW6E,0.56,0.61,1.45
e79hW,,,
nWWcQ,2.42,1.44,4.02
W7it9,-0.86,2.66,2.11
h4KxM,1.09,0.5,1.86
kje91,1.02,-0.36,0.73
ANKo9,1.11,-0.52,-0.66
nxoyQ,3.9,-3.14,0.6
mWxp5,0.24,0.08,-0.39
bklBj,0.3,-0.28,0.01
5ZZ2w,-2.01,1.08,-1.03
mmmxR,0.7,-0.17,0.64
D4YZN,,,
MtyqS,0.99,1.0,2.41
BdXvS,-0.01,0.03,0.02
xbwUN,0.57,1.1,1.89
IQDM2,-0.05,0.14,0.12
QXtqi,0.5,1.61,2.56
iWuLK,-0.17,0.19,0.04
SsOKY,0.56,-1.09,-0.65
ILRhT,0.7,-0.52,-0.18
WWmVW,1.79,1.61,-3.75
loxb9,0.31,0.25,-0.68
D65uR,0.7,-0.02,-0.83
GvtSt,1.23,-0.43,0.91
4TgC6,0.17,-0.47,0.33
xvVV6,0.09,1.01,1.32
qkpcW,3.28,-0.91,-1.33
OOzLI,0.79,0.9,-2.16
mGPgu,-0.55,-0.31,1.0
XCEa7,,,
taSKJ,0.88,-0.44,0.51
Nx4Kf,0.9,0.51,1.64
SC8jm,-0.41,-0.11,-0.62
sCONf,0.97,-0.23,-0.81
jNrBP,-0.08,-0.14,0.26
2Av80,,,
iFPaX,-0.77,0.49,0.25
PDwOH,0.66,0.9,1.86
1U74p,-0.66,1.38,0.87
S3izf,-0.02,0.39,-0.44
Fo7T9,,,
oJC1e,,,
NwQ6W,1.91,0.62,-2.97
amWhq,1.83,-2.83,-1.24
aQ9td,-0.25,-0.67,-0.99
uul8r,0.14,1.19,1.59
OSbsv,0.66,-0.76,0.15
zCPvB,0.6,0.72,1.55
f98d5,1.8,-0.4,2.26
I9kyT,,,
6BEph,0.2,-0.58,0.46
Q695R,0.84,0.74,1.83
ZaQzi,0.05,-0.28,-0.28
XjMaZ,-0.4,-0.24,0.81
QUlJR,1.54,1.44,-3.55
DaGDQ,0.13,0.03,-0.2
14Agl,-0.16,-0.29,-0.49
npVYa,0.36,-1.18,-0.94
l0dAk,0.07,-1.19,1.37
ClVjq,-3.32,2.03,-0.95
3WFEC,-0.31,0.02,-0.34
8q6Lh,-0.01,0.27,0.3
dCdMQ,-0.12,0.51,-0.5
r2mId,-1.39,0.73,0.66
fQAzf,-0.04,2.02,-2.45
dzt3C,0.6,0.16,0.85
XrtgB,0.57,0.07,-0.77
G2Nz1,0.45,0.97,1.6
58BWU,0.37,0.15,0.62
sIGus,0.45,0.38,-1.0
410V4,-2.04,-0.69,3.03
UlVtH,0.46,-1.05,0.76
pQkEq,0.33,0.06,0.47
IckoK,1.84,0.92,3.24
hqOs4,0.37,-0.33,-0.02
wPRHv,-0.86,-1.59,2.39
M1dBn,1.22,-0.93,0.25
LfXZI,1.59,-1.8,-0.29
kmDOg,0.34,-0.54,0.26
4uxXz,-0.25,0.74,0.62
RzG0O,0.56,-0.65,-0.11
Y5ZI5,0.16,0.15,-0.37
xaTIL,-0.63,-1.18,-2.36
Q5ngd,,,
vmAbg,,,
zVDbO,-1.7,1.77,0.16
HCIfi,0.01,-0.46,0.57
tUOsB,0.23,0.39,-0.76
ZRMJV,0.44,0.79,1.57
jQHbb,0.34,0.39,0.88
hTKZH,0.19,-1.41,-1.39
0vklw,-0.07,0.8,0.88
OWTNp,-0.38,0.49,-0.15
Ph2g8,0.01,-0.36,0.39
jyA1H,0.5,0.36,1.03
aY2Iq,-1.08,-0.37,-1.66
lNpNS,0.47,-1.84,1.67
hsjy1,0.17,0.01,-0.19
UJafr,2.04,1.57,-4.38
hpHsj,-0.04,0.31,-0.35
QW8zO,-3.27,1.25,3.74
YHN1g,1.2,0.11,-1.51
NsFIH,1.48,0.67,-2.27
SXTIz,0.12,-0.26,-0.2
IqH2w,-0.01,0.02,0.02
rzcNd,0.69,-1.95,1.46
5TUAo,1.32,1.05,-2.67
0gG3H,0.01,1.41,-1.71
WWwR9,-0.22,-0.13,0.35
3HfLX,-0.33,-0.84,-1.5
SFafQ,-0.6,-1.08,1.93
RTaLe,-0.98,1.08,-0.18
M3JQG,-0.09,0.08,-0.01
NtHZZ,0.4,-0.1,-0.3
tNvmT,0.48,0.19,0.78
8HBZE,2.4,1.6,4.98
p4gyj,-0.18,2.03,2.24
Iqc0t,,,
CH4os,0.81,-0.16,-0.67
1ACkt,1.2,1.71,3.43
hQ5R2,2.31,0.36,-2.68
URG2o,1.72,1.1,3.03
J8eol,-0.09,1.31,-1.35
r592V,3.31,-1.24,2.22
8TJhP,0.8,1.64,-2.61
XERRv,0.32,0.58,1.06
cUL6i,1.52,0.15,1.96
d549J,0.79,-0.79,0.05
Ed52a,,,
j4vgS,0.46,-1.11,0.87
dMtCN,1.42,-0.34,1.28
JNvxb,2.36,-3.31,1.14
kA6u7,0.79,2.95,-3.79
N5U57,-0.08,-1.34,1.49
L3BTl,-0.35,-0.15,0.64
xPkde,1.55,-0.1,1.63
mhBuO,0.98,-1.35,0.41
XrKS4,-0.73,0.65,-0.05
Og8Vx,0.6,-0.3,0.29
m1kxm,2.22,1.53,4.15
3AGP4,0.16,0.45,0.74
S28a5,-0.56,0.41,-0.12
LlQGQ,,,
aBzPY,,,
3WsyI,1.03,-0.42,-0.62
B1bV4,0.26,-1.05,-0.94
HyRZ9,-0.2,0.2,-0.01
VOJSn,0.15,0.74,0.98
98HoJ,-0.09,-0.55,0.69
w6PGO,0.18,0.57,0.9
dk42b,1.43,1.75,-3.69
zCEvj,3.19,0.41,2.73
58C3j,0.64,0.43,1.31
BNztD,0.09,1.17,-1.54
lkG7K,0.62,-0.95,-0.44
pJC8f,0.58,-0.5,0.05
ZbnYW,-0.02,0.02,0.0
aomlW,-0.15,-1.11,1.48
Q8iyn,-0.44,-0.51,1.08
8tkEW,,,
OwaFP,-0.41,0.18,0.26
tBfPi,4.18,1.66,5.63
8IciH,1.77,0.06,-1.84
60Lnb,0.24,0.58,-0.96
9iuym,-0.2,0.73,-0.71
rtSTX,0.77,0.25,1.04
3tqME,-2.55,-1.49,4.58
npdfu,0.5,-0.31,-0.19
PqgRJ,0.14,0.09,0.3
duCbQ,2.28,0.2,-2.05
sR4Bi,-0.21,0.32,0.17
ltYy7,-2.41,1.94,0.37
xq0my,-1.48,1.79,0.42
slbd6,-0.28,0.47,-0.26
JvlTr,0.15,0.15,-0.36
EayBd,0.92,0.24,1.35
6XclL,1.72,0.51,2.58
UGtKj,-0.92,0.36,-0.64
t9Qio,-0.32,-0.07,0.51
4VkuK,2.89,-2.02,1.73
3TWHP,0.44,0.59,1.13
r9eOO,-1.55,-1.94,3.66
v4702,1.0,1.46,3.05
MoEtZ,2.25,0.81,3.48
cvyG9,-4.9,0.45,5.99
3ZZRX,0.47,-0.79,-0.39
OQB0C,0.52,0.01,-0.58
z2Y6v,0.3,-0.29,0.0
yduvG,-1.2,1.07,0.09
L1SJY,,,
LqZ26,0.63,-1.0,0.47
HZVOk,0.68,1.75,-2.82
WlKCF,0.74,1.69,2.58
50UB1,-0.39,-1.8,2.74
xJ7uF,,,
55zni,,,
cvFB3,,,
ztKBE,-0.27,-0.5,0.94
Ta2U6,0.72,0.45,-1.4
Jehkg,-0.16,0.85,-0.87
aUVki,0.18,0.78,-1.18
OiK3D,3.94,0.52,-3.67
J7NGv,2.68,0.04,2.69
SLEWM,3.16,-2.62,0.96
vI7lp,1.34,0.9,2.55
StCD5,-0.41,-0.09,-0.63
kWVnm,1.26,0.01,1.37
9iXGt,0.31,1.54,2.25
FkJ67,0.16,1.76,2.37
Xcjv2,0.09,0.22,-0.39
uPcjO,-0.02,0.99,-1.24
NX7Lp,-0.85,-0.48,-1.48
qJ992,0.14,0.66,0.95
EkDXV,0.6,0.44,-1.27
2JuWy,1.03,-0.55,0.53
ChoGN,,,
51ruS,-0.07,-0.07,-0.15
VUybI,1.52,1.82,-4.16
nnuzD,-0.29,-0.56,-1.0
lYO2L,1.39,-2.86,1.74
4xKpS,2.55,1.1,4.08
veYUa,1.76,-0.53,-1.31
fVSc7,0.25,0.19,-0.57
XnTmG,0.06,-0.36,-0.36
KYs5s,,,
Vs5FV,0.71,1.66,-2.73
JcFoJ,1.31,0.88,-2.54
YGcJX,-0.31,-1.45,-2.09
Glm9C,1.63,1.12,-3.37
0U5p6,3.55,-1.35,-2.47
I5pQ1,,,
z5qfY,-0.98,-0.83,-2.19
mHizx,-0.16,-0.25,-0.47
vHr0E,0.62,-0.05,0.71
a2gGg,0.73,0.08,-0.85
HsDy6,,,
SymMr,-0.46,0.42,-0.03
uVoqK,0.92,-0.91,-0.04
6Z3cj,0.29,0.32,-0.7
nFw18,0.86,1.33,2.55
sDkrf,1.53,-1.19,0.31
YLYP4,-0.48,0.4,0.08
EgvpB,-0.48,0.68,-0.27
ouG3P,1.13,0.84,2.43
ZudgO,,,
Uy8U1,-0.48,0.61,-0.18
wKIoE,0.16,-0.14,-0.01
oY6K5,-0.07,0.12,0.05
RRU0A,-0.21,0.59,-0.48
SNAxs,-0.4,0.38,0.0
u5jIa,,,
0JAHD,0.03,0.12,0.19
ByUNv,0.89,0.89,-2.13
U76fz,,,
h5wZF,-0.16,-1.48,1.98
BJ8XP,0.37,0.03,-0.44
SjzkX,0.02,0.21,0.3
fgtI9,0.82,0.5,1.51
hydYP,3.58,-2.23,-1.25
pHCOF,0.27,0.49,-0.94
y21bx,-0.82,-0.78,-1.78
971QE,-0.09,-0.07,0.18
foZdA,-0.04,2.93,3.41
0J87N,-0.3,0.41,-0.16
bZZhc,0.71,-0.26,-0.46
FcLI3,,,
tqG1f,0.8,1.89,-2.77
ToLnY,,,
VP1ao,,,
FvtVC,0.09,-0.34,0.31
D1H4O,2.61,-0.8,2.17
OHVo8,,,
95HEX,1.5,0.19,-1.85
7cTbu,-2.05,-3.01,-5.97
dMp7n,0.0,0.01,-0.02
0yiUh,0.27,-0.69,0.54
iQh0C,,,
ZIfKP,-1.43,1.76,-0.47
LmW5I,-0.62,0.4,0.25
waEuF,0.47,0.4,-1.1
6N5Ca,-1.21,0.18,1.22
XEJ5v,-0.51,0.55,-0.07
zEWE4,0.44,0.18,-0.77
XyznU,0.7,-0.13,0.59
